Topic,Word,P
16,big,0.010831015184521675
17,good,0.012447708286345005
17,range,0.01108210813254118
17,suv,0.011038846336305141
17,sunroof,0.01101949904114008
17,service,0.011000014841556549
17,awesome,0.010218544863164425
17,segment,0.009565440006554127
17,speaker,0.009194862097501755
17,system,0.008452056907117367
17,price,0.00844013225287199
18,interior,0.018602279946208
18,feel,0.017781253904104233
18,riding,0.015012552961707115
18,comfortable,0.013232758268713951
18,term,0.012668176554143429
18,blow,0.011689375154674053
18,good,0.011408449150621891
18,Toyota,0.011384638026356697
18,sunroof,0.01138051226735115
18,mind,0.011108066886663437
19,spacious,0.020050611346960068
19,feel,0.01597329042851925
19,cruise,0.015209617093205452
19,drive,0.013449041172862053
19,monitoring,0.013443559408187866
19,jerking,0.012702543288469315
19,tyre,0.012423289939761162
19,looking,0.01197220478206873
19,control,0.011226932518184185
19,long,0.011162707582116127
20,excellent,0.02109644003212452
20,suv,0.015954075381159782
20,car,0.014568180777132511
20,wireless,0.014091289602220058
20,compare,0.01275615394115448
20,charging,0.011912062764167786
20,comfortable,0.011857002973556519
20,stability,0.011565051972866058
20,especially,0.01088620349764824
20,clearance,0.010259678587317467
21,bad,0.019146140664815903
21,prove,0.011667369864881039
21,diesel,0.011472153477370739
21,bump,0.011454468593001366
21,net,0.011198977008461952
21,mosquito,0.011198741383850574
21,test,0.010506830178201199
21,short,0.01018428523093462
21,model,0.010133975185453892
21,thin,0.010087781585752964
22,amazing,0.018862172961235046
22,performance,0.014558176510035992
22,especially,0.011998838745057583
22,feature,0.01182416919618845
22,interesting,0.010955405421555042
22,great,0.010642306879162788
22,ivt,0.010005001910030842
22,premium,0.009673391468822956
22,high,0.009383872151374817
22,lady,0.009342468343675137
23,space,0.018061302602291107
23,seltos,0.013758360408246517
23,ride,0.013088619336485863
23,documentation,0.012195436283946037
23,write,0.012195345014333725
23,maintenance,0.012154494412243366
23,low,0.01195401418954134
23,keen,0.011509038507938385
23,internal,0.01150886807590723
23,suv,0.010980240069329739
24,good,0.01812754198908806
24,road,0.016030481085181236
24,quality,0.014832064509391785
24,presence,0.01324207428842783
24,cost,0.010936613194644451
24,facility,0.010466162115335464
24,build,0.010424639098346233
24,posh,0.010020721703767776
24,family,0.009263083338737488
24,luxury,0.009247776120901108
25,good,0.014088738709688187
25,build,0.01326062437146902
25,quality,0.012257148511707783
25,smooth,0.011724469251930714
25,ride,0.011607931926846504
25,compromise,0.011567224748432636
25,braking,0.01090193260461092
25,long,0.010633481666445732
25,nice,0.010285923257470131
25,alloy,0.009175878949463367
26,sunroof,0.013008326292037964
26,good,0.010341376066207886
26,parking,0.010288168676197529
26,segment,0.010225839912891388
26,airbag,0.010163159109652042
26,model,0.009657212533056736
26,rear,0.009634235873818398
26,attract,0.009381773881614208
26,suffer,0.008909422904253006
26,panoramic,0.008870676159858704
27,service,0.018840190023183823
27,indian,0.015504059381783009
27,commendable,0.012980584055185318
27,massive.fully,0.012461126782000065
27,far,0.01093160267919302
27,happen,0.010774483904242516
27,inflation,0.010774252936244011
27,unnecessarily,0.01077336072921753
27,sector,0.01077315490692854
27,standard,0.010498563759028912
28,feature,0.016972776502370834
28,like,0.014033244922757149
28,pretty,0.012529101222753525
28,well,0.01161671057343483
28,offer,0.010876188054680824
28,obviously,0.010765846818685532
28,impact,0.010447846725583076
28,long,0.009961397387087345
28,performance,0.008902527391910553
28,loaded,0.008616610430181026
29,easily,0.015222988091409206
29,look,0.01389673724770546
29,airbag,0.01332943420857191
29,safety,0.012591012753546238
29,Kia,0.012199020944535732
29,design,0.011747634969651699
29,love,0.01164077315479517
29,adjustable,0.011004753410816193
29,mode,0.010764884762465954
29,infotainment,0.010527539066970348
30,ground,0.0192012470215559
30,clearance,0.019200358539819717
30,good,0.016581697389483452
30,space,0.014243385754525661
30,sound,0.012745664454996586
30,boot,0.010071614757180214
30,SUV,0.009411035105586052
30,course,0.009337907657027245
30,feedback,0.008720732294023037
30,seat,0.008628150448203087
31,vehicle,0.025204308331012726
31,clearance,0.012492204084992409
31,ground,0.012491832487285137
31,little,0.012354881502687931
31,get,0.010782190598547459
31,interested,0.01056904811412096
31,seat,0.0103636858984828
